#cancer_type RNAseq_id annotation_id
LUAD  syn2320196  syn1446118
BRCA  syn2320114  syn1446065
KIRC  syn2320105  syn1446101
COAD  syn2320092  syn1446078
OV    syn2320129  syn1446135
READ  syn2320098  syn1446151
LUSC  syn2320095  syn1446125
GBM   syn2320157  syn1446088
UCEC  syn2320133  syn1446167
HNSC  syn2319946  syn1446094
#PRAD  syn2319964  syn1446144
#BLCA  syn2319855  syn1446058
#LAML  syn5824049  syn1446109
