principal component 1,principal component 2,principal component 3,cancer_type
-25.55347152312599,43.9359869846206,-70.69821700304738,LUAD
-23.69739633887598,50.624202857355854,-46.41627661876079,LUAD
-23.153493540192066,27.559408940435613,-87.89751716586035,LUAD
-43.86068953790455,64.19609505396556,-25.1983574137308,LUAD
-30.837634330812907,66.33629949522343,-70.2107946331171,LUAD
-19.061396367128236,59.5379476854083,-71.34414597780693,LUAD
-3.9788357186667676,30.655167918192944,-50.49902852504378,LUAD
-23.9914686118868,60.55812999819075,-23.022217264868285,LUAD
-17.547848319157755,71.51954263651778,-32.03461659168175,LUAD
-23.421954866494815,61.57556401749387,-75.71958677369565,LUAD
-24.278669777096184,47.95572293056095,-85.89248954221235,LUAD
-21.55655111216673,70.30700346025051,-50.3598672274052,LUAD
-7.28793000922872,27.250238331651502,-108.64182434207433,LUAD
0.44384720035053327,40.98269388077005,-102.21618700607164,LUAD
-9.383505815986561,38.655695138418174,-90.1232236590398,LUAD
-6.473878828532209,13.317852421746085,-114.62960983876995,LUAD
-40.68796563577038,19.079598999593752,13.687924549056529,LUAD
-18.917380934877993,69.69966241532306,-35.66756632369212,LUAD
-18.814049156157687,38.519947809279735,-81.94091859913199,LUAD
-2.7439564099239604,46.633163571246705,-98.27930027292288,LUAD
15.46590158154675,44.70760307218496,-89.78249141256038,LUAD
-9.799146320924342,47.095542937221836,-98.21781818688967,LUAD
-4.119014847287531,40.05195528277097,-113.15896481264386,LUAD
-2.3427619697863076,37.67613825329567,-55.81530696190444,LUAD
-10.178357733186333,69.03307097614669,-88.65631950752328,LUAD
-7.3670953094398755,38.77547660057494,-109.03257397613622,LUAD
-37.15391866632927,52.99693452797851,-57.364351556027444,LUAD
-17.623363064021703,36.55787763750631,-88.87254114431028,LUAD
-37.83166450863278,24.21600468124151,-43.60015756693965,LUAD
2.8981505581186,34.32448628381297,-80.61558225901622,LUAD
-7.013902810607763,15.027892527170648,-89.77087978150008,LUAD
-13.940524875939623,61.30889158043755,-62.92654398739008,LUAD
-43.34669740847574,56.80152288934116,-24.970487686503795,LUAD
-20.44470407873304,65.12947308094432,-22.15254600310402,LUAD
8.695224199211518,42.666011779930834,-104.60276940488512,LUAD
6.753900422515114,32.1766114719837,-111.2926597939023,LUAD
7.101271881964539,38.856287253565306,-131.8275033177197,LUAD
-39.260186853991385,54.80082683555871,-34.410914130765526,LUAD
16.8884129698658,57.292543049138985,-119.19920952854659,LUAD
-26.64734307914502,49.36883008078455,-57.447370369194346,LUAD
-29.103129070227673,61.546312638499444,-42.80045527595554,LUAD
-45.48265846463811,29.021137918277645,-60.56738125778357,LUAD
-0.6347881091620176,39.12041231090741,-98.83627482362286,LUAD
13.987689971499506,39.36425149558671,-125.36046007527042,LUAD
1.1441406948350863,39.614941942491676,-106.98295076893193,LUAD
9.186469568994745,28.29083318802211,-108.71663200797047,LUAD
-6.967007354669059,47.513767762374236,-96.09134615743602,LUAD
-15.922931906212437,45.23360091880835,-70.40686267869633,LUAD
15.445697895666491,34.821129884002076,-130.96249476733536,LUAD
-27.334114729857372,42.17053302089747,-71.48243773471187,LUAD
-3.9121116966718845,47.511016214378856,-110.71848878293143,LUAD
-7.955716128674703,50.56996161395439,-87.99460326470633,LUAD
-17.000482321592493,26.90901649708885,-78.14741113587085,LUAD
-2.8000115724351122,58.4392005896597,-79.26994493111167,LUAD
15.711687359520285,46.44851827551116,-72.11467983758749,LUAD
-18.809487560180482,51.346317235935686,-77.5787617021463,LUAD
-4.250534921292605,53.51607134389568,-101.07306171411345,LUAD
-12.34605058674609,45.92938742071057,-100.47067363115242,LUAD
-7.721608941437523,30.396281132524035,-91.89768254508465,LUAD
-13.883280748583969,62.924793113782926,-88.66831653576294,LUAD
-27.653863742231163,75.07827562892702,-76.55223342396462,LUAD
-1.3310435189252998,53.20858131683471,-87.95129759439983,LUAD
-0.6513292303084884,17.80590200264298,-117.73438296551453,LUAD
-38.81709710471574,56.34910089234981,-7.613631667127869,LUAD
-19.667027823235344,40.88435822287862,-85.97407473149275,LUAD
7.1596387241876025,26.147096722347616,-116.12980610499233,LUAD
-29.124818292290744,48.32338007692266,-19.24381036691003,LUAD
-32.59163733095552,46.863719473832816,-70.42723175668549,LUAD
-32.511318461792875,47.918050296875,-73.76899438642272,LUAD
-26.77410746832398,61.3540237620913,-56.39084524678876,LUAD
-7.2706282236220225,36.26594790049882,-100.43993843142468,LUAD
-8.725604068642516,48.9438701765902,-95.84240974414192,LUAD
-26.53413971975794,84.21444123348499,-47.92043003142529,LUAD
-16.97370133875055,38.929119645087965,-75.29713584006642,LUAD
-1.190440276776593,48.29785599788063,-89.03472357664091,LUAD
-18.16726550952103,36.659611073625186,-70.2061960257957,LUAD
7.64053096818158,31.585400780699153,-101.01272683060743,LUAD
-32.954523763034366,47.686699063980804,-29.540867272259696,LUAD
-30.649516201448236,50.88071889264606,-85.20342314514458,LUAD
13.29955862997916,23.29283291265493,-133.50736132535988,LUAD
-15.476813921900707,47.34046914421709,-24.19923482858934,LUAD
-13.30472150752684,41.37115981497709,-96.41932122493354,LUAD
-6.214570618951367,75.53101430990654,-57.1607598793414,LUAD
-15.82125803850578,51.370497712067,-96.53042335014263,LUAD
-14.041822551832217,60.77896870856382,-17.557990932041463,LUAD
-6.63128815834326,35.16324706847655,-93.59978600980234,LUAD
-12.635667097137643,53.198797979793305,-73.50929946807479,LUAD
-1.1332513999480867,10.575696033124292,-99.69546452033374,LUAD
-0.5359717081160232,40.2257638885575,-114.07769274201947,LUAD
